mean,variance,range,mean_abs_diff,label
-49.3,1.0099999999999998,3,1.3333333333333333,empty
-49.9,2.8899999999999997,5,1.7777777777777777,empty
-49.4,0.8399999999999999,3,1.3333333333333333,empty
-49.0,0.4,2,0.7777777777777778,empty
-49.5,0.65,3,0.7777777777777778,empty
-48.7,0.41,2,0.7777777777777778,empty
-49.2,0.7599999999999999,3,1.0,empty
-48.7,0.61,3,0.7777777777777778,empty
-48.8,0.36,2,0.7777777777777778,empty
-48.7,0.20999999999999996,1,0.4444444444444444,empty
-49.4,0.8400000000000001,3,0.8888888888888888,empty
-48.7,0.8099999999999999,3,1.2222222222222223,empty
-49.0,0.6,2,1.0,empty
-49.2,1.5599999999999998,4,1.8888888888888888,empty
-48.6,0.8400000000000001,3,1.0,empty
-48.9,0.29,2,0.3333333333333333,empty
-49.0,0.6,3,0.6666666666666666,empty
-48.8,0.16,1,0.3333333333333333,empty
-49.5,0.45,2,0.6666666666666666,empty
-49.4,1.24,4,1.1111111111111112,empty
-48.9,0.8899999999999999,3,1.3333333333333333,empty
-49.2,1.3599999999999999,4,1.4444444444444444,empty
-49.6,0.6399999999999999,3,0.7777777777777778,empty
-49.2,1.3599999999999999,4,1.5555555555555556,empty
-49.5,0.25,1,0.5555555555555556,empty
-51.0,25.6,18,2.6666666666666665,empty
-49.4,0.6399999999999999,3,1.0,empty
-49.0,0.6,2,1.0,empty
-49.5,0.85,3,1.0,empty
-48.9,0.2899999999999999,2,0.2222222222222222,empty
-48.6,0.24,1,0.7777777777777778,empty
-49.5,0.45,2,0.5555555555555556,empty
-49.4,1.44,4,1.5555555555555556,empty
-49.3,2.41,4,1.7777777777777777,empty
-48.8,0.76,3,0.4444444444444444,empty
-49.3,0.61,3,0.8888888888888888,empty
-48.8,0.5599999999999999,2,0.7777777777777778,empty
-49.1,0.69,3,0.7777777777777778,empty
-49.7,2.41,5,1.2222222222222223,empty
-48.9,0.49000000000000005,2,0.5555555555555556,empty
-48.7,0.41,2,0.7777777777777778,empty
-49.1,0.2899999999999999,2,0.5555555555555556,empty
-49.0,1.0,3,0.6666666666666666,empty
-49.1,0.2899999999999999,2,0.5555555555555556,empty
-49.2,0.76,3,0.8888888888888888,empty
-49.0,0.2,2,0.4444444444444444,empty
-49.3,0.41,2,0.7777777777777778,empty
-49.1,1.69,4,1.6666666666666667,empty
-48.9,0.2899999999999999,2,0.4444444444444444,empty
-48.9,0.6900000000000001,3,1.0,empty
-49.3,0.8099999999999999,3,1.1111111111111112,empty
-50.0,1.8,4,1.3333333333333333,empty
-49.2,0.36,2,0.7777777777777778,empty
-48.9,0.29,2,0.5555555555555556,empty
-49.0,0.8,3,1.0,empty
-49.2,0.96,3,1.3333333333333333,empty
-49.2,0.36,2,0.5555555555555556,empty
-49.1,0.2899999999999999,2,0.6666666666666666,empty
-48.9,0.89,3,1.0,empty
-48.3,2.0100000000000002,6,1.4444444444444444,empty
-49.5,0.85,3,1.1111111111111112,empty
-49.5,1.45,4,1.5555555555555556,empty
-49.1,1.4899999999999998,4,1.4444444444444444,empty
-49.3,0.41,2,1.0,empty
-48.8,0.5599999999999999,2,1.1111111111111112,empty
-48.8,0.36,2,0.6666666666666666,empty
-49.3,0.41,2,0.8888888888888888,empty
-49.4,1.2399999999999998,3,1.6666666666666667,empty
-49.1,0.8899999999999999,3,1.2222222222222223,empty
-49.5,1.05,4,1.4444444444444444,empty
-49.2,0.36,2,0.4444444444444444,empty
-49.5,0.25,1,0.8888888888888888,empty
-49.6,0.44000000000000006,2,0.7777777777777778,empty
-48.9,0.6899999999999998,2,0.8888888888888888,empty
-49.1,1.0899999999999999,4,0.8888888888888888,empty
-49.7,1.0099999999999998,4,0.7777777777777778,empty
-49.0,0.8,3,1.1111111111111112,empty
-49.8,1.56,4,0.7777777777777778,empty
-49.5,0.45,2,0.5555555555555556,empty
-49.9,0.48999999999999994,2,0.7777777777777778,empty
-49.7,1.2099999999999997,3,1.1111111111111112,empty
-49.1,1.2899999999999998,3,1.4444444444444444,empty
-49.4,2.04,5,1.6666666666666667,empty
